"RegionID","Date","RegionName","State","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
394848,2019-03-31,"Medford, OR","OR",210,303300,0.000329815303430079,0.00663790242283438,0.0498442367601246,0.0842573639505682,0.0316964676282891,"2019-03","2019-Q1",303300,0,"2019-03"
753895,2019-03-31,"Lafayette-West Lafayette, IN","IN",211,152900,0.00658327847267939,0.0186542305129913,0.0767605633802817,0.0564288953253862,0.0235062206582302,"2019-03","2019-Q1",152900,0,"2019-03"
394378,2019-03-31,"Bellingham, WA","WA",212,400900,0.00652774290735626,0.0219219984705582,0.105931034482759,0.0953122357703549,0.0407454608250002,"2019-03","2019-Q1",400900,0,"2019-03"
394765,2019-03-31,"Lake Havasu City, AZ","AZ",213,223900,0.00448631673396142,0.0181900864029104,0.139440203562341,0.0927466030199708,0.0362649367203003,"2006-07","2006-Q3",242700,-0.0774618871034199,"2005-11"
395047,2019-03-31,"Saginaw, MI","MI",214,117100,0.00515021459227468,0.0138528138528139,0.0995305164319249,0.0666752260861734,0.029332606241482,"2019-03","2019-Q1",117100,0,"2019-03"
394763,2019-03-31,"Lake Charles, LA","LA",215,145100,-0.0129251700680272,-0.0422442244224422,-0.0195945945945946,0.0579147166721117,0.0383429233813537,"2018-09","2018-Q3",155500,-0.0668810289389068,"2018-02"
394726,2019-03-31,"Johnson City, TN","TN",216,140200,0.00142857142857143,0.00357909806728704,0.057315233785822,0.0499051456768953,0.022164896759731,"2019-03","2019-Q1",140200,0,"2019-03"
394565,2019-03-31,"Elkhart, IN","IN",217,157100,0.00511836212412028,0.0128949065119278,0.0940111420612813,0.0632702685590452,0.0292952585910686,"2019-03","2019-Q1",157100,0,"2019-03"
395247,2019-03-31,"Yuma, AZ","AZ",218,148100,0.00679809653297077,0.0178694158075601,0.0616487455197133,0.0480925469245364,0.00564037723194977,"2006-10","2006-Q4",178400,-0.169843049327354,"2005-08"
395011,2019-03-31,"Racine, WI","WI",219,227800,-0.00087719298245614,0.00308234258036107,0.0930902111324376,0.0620359793314713,0.0195509759784094,"2019-02","2019-Q1",228000,-0.00087719298245614,"2019-01"
394346,2019-03-31,"Athens, GA","GA",220,183200,0.00218818380743982,0.011037527593819,0.0776470588235294,0.0674285213589787,0.0237306555114856,"2019-03","2019-Q1",183200,0,"2019-03"
395162,2019-03-31,"Torrington, CT","CT",221,269400,0.0026051358392259,0.00111482720178372,0.0108818011257036,0.0212619931480533,-0.00363808436101409,"2006-04","2006-Q2",327900,-0.178408051235133,"2004-03"
394681,2019-03-31,"Hilton Head Island, SC","SC",222,303600,0.00131926121372032,0.00964416361822414,0.0523396880415945,0.0563630274252243,0.0107916902828271,"2006-12","2006-Q4",338900,-0.104160519327235,"2006-01"
753869,2019-03-31,"Bloomington, IL","IL",223,142400,-0.00140252454417952,-0.00140252454417952,0.0135231316725979,0.00556938635790005,0.00120172497924931,"2018-09","2018-Q3",143900,-0.0104239054899236,"2018-06"
394680,2019-03-31,"Hilo, HI","HI",224,353800,0.00226628895184136,0.0123032904148784,0.0287874382087816,0.0588649442504274,0.0216091142580341,"2006-10","2006-Q4",371000,-0.0463611859838275,"2006-03"
