id,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value
20136828,Midland Beach,Entire home/apt,6,1,2,105,4,363,17,81,9,8
16568275,Greenwich Village,Private room,2,1,1,69,4,0,0,,,
28927290,Concord,Private room,1,1,1,35,1,327,37,99,10,10
27549628,Belle Harbor,Entire home/apt,3,1,2,200,1,293,24,97,10,10
30273310,Bay Ridge,Private room,3,1,1,85,365,123,1,100,10,10
27852410,Arrochar,Private room,1,1,1,34,4,330,6,100,10,10
32365636,Bay Ridge,Entire home/apt,6,2,3,155,28,335,0,,,
29995144,St. Albans,Private room,2,1,1,70,2,99,3,100,10,10
25776914,Canarsie,Private room,1,1,1,25,2,59,31,94,10,10
33225054,Cambria Heights,Entire home/apt,3,1,1,60,2,84,2,30,4,6
27203413,New Brighton,Private room,4,1,1,115,3,129,31,98,10,10
25484515,Edenwald,Private room,4,1,1,125,1,124,11,100,10,10
11147993,Williamsbridge,Entire home/apt,3,1,1,85,2,278,136,99,10,10
28314777,Jamaica,Private room,2,1,1,60,1,364,19,91,9,9
28339747,Springfield Gardens,Private room,2,1,1,180,1,179,0,,,
22716305,Columbia St,Private room,2,1,1,75,4,4,4,87,8,7
253475,Greenpoint,Entire home/apt,4,1,1,199,3,271,56,96,10,10
33829436,Astoria,Private room,2,1,1,75,10,365,0,,,
28181405,Harlem,Private room,2,1,1,57,1,63,48,88,9,9
28344687,Long Island City,Entire home/apt,6,1,3,164,2,157,7,51,7,5
22406977,Washington Heights,Private room,2,1,1,50,1,354,6,57,8,7
5389907,Astoria,Entire home/apt,5,2,3,300,7,45,1,100,10,8
27930322,East New York,Private room,2,1,1,150,2,362,1,100,10,10
596448,Brooklyn Heights,Entire home/apt,2,1,1,129,1,235,105,95,10,10
19265835,Harlem,Entire home/apt,4,1,2,135,3,25,65,97,10,9
6813226,Upper West Side,Entire home/apt,7,2,2,390,3,60,11,93,9,9
24077042,Harlem,Entire home/apt,6,1,2,325,3,298,43,93,9,9
34126672,Upper West Side,Shared room,1,1,1,50,1,353,0,,,
439750,Williamsburg,Private room,2,1,1,55,150,32,10,95,9,9
20396906,Sheepshead Bay,Private room,1,1.5,0,30,7,61,1,80,2,10
30959271,Crown Heights,Private room,2,1,1,60,1,364,2,70,9,8
9452237,Ditmars Steinway,Entire home/apt,6,1,2,148,1,334,36,82,8,8
28436764,Sunnyside,Private room,2,1,1,75,2,326,10,88,9,9
14181211,Ditmars Steinway,Entire home/apt,5,1,1,120,1,64,221,96,10,9
3431378,Mott Haven,Private room,4,1,1,41,1,47,229,92,9,9
30548467,East Harlem,Private room,2,1,1,32,30,163,1,80,8,10
18840866,Upper East Side,Private room,2,1,1,180,1,76,14,100,10,10
30594346,Flatbush,Private room,2,1,1,80,10,178,0,,,
20047896,Clinton Hill,Entire home/apt,4,1,1,158,2,34,83,100,10,10
8971863,East Flatbush,Private room,1,2,1,45,30,58,7,94,10,10
29703038,Clinton Hill,Entire home/apt,8,2,2,191,1,33,32,94,10,9
746983,Harlem,Private room,1,1,1,80,3,307,0,,,
14215681,East Harlem,Private room,1,1,1,70,1,75,55,92,10,9
11753792,Clinton Hill,Entire home/apt,6,2.5,4,200,30,67,1,100,10,10
6388315,Upper West Side,Entire home/apt,2,1,1,120,150,365,0,,,
1818502,South Slope,Private room,2,1,1,59,4,363,1,,,
2414157,Flatbush,Shared room,2,1,1,30,5,222,32,93,9,9
30390232,Midtown,Private room,1,1,1,100,1,166,2,100,9,8
30860048,Financial District,Private room,2,1,1,80,3,73,0,,,
23452435,Upper East Side,Entire home/apt,3,1,1,225,2,154,8,100,10,10
29827646,Bushwick,Private room,1,1,0,89,1,89,0,,,
33972006,Morris Heights,Private room,2,1,1,40,1,337,1,,,
33914432,Bushwick,Private room,3,1,1,68,1,137,2,100,10,10
25977386,Washington Heights,Private room,2,1,1,215,1,180,0,,,
32548384,Washington Heights,Entire home/apt,4,1,1,50,2,60,8,95,10,10
31013452,Bedford-Stuyvesant,Entire home/apt,4,1,2,300,3,359,0,,,
1178389,Washington Heights,Entire home/apt,2,1,1,70,6,123,19,81,9,9
15478604,Bushwick,Entire home/apt,3,1,1,70,2,120,64,88,9,9
10165663,Bedford-Stuyvesant,Entire home/apt,2,1,1,115,2,173,136,97,10,10
22147426,Harlem,Entire home/apt,6,1,2,249,6,296,36,92,10,9
30958404,Harlem,Private room,2,1,1,150,2,232,3,93,10,9
165461,Morningside Heights,Private room,2,,1,75,5,152,57,93,9,9
23986569,Harlem,Private room,3,1,0,65,1,76,3,73,7,7
936218,Harlem,Private room,1,1,1,55,14,40,15,100,10,10
33113990,Chelsea,Entire home/apt,2,1,1,175,6,42,1,100,10,10
30694626,Bedford-Stuyvesant,Entire home/apt,4,1,2,160,1,65,7,91,9,9
5859030,Upper East Side,Entire home/apt,2,1,1,118,30,351,2,90,10,9
46723,Bedford-Stuyvesant,Private room,2,,1,90,2,339,124,95,10,9
1316480,Bedford-Stuyvesant,Private room,1,1,1,45,1,283,112,91,10,10
17117129,Prospect-Lefferts Gardens,Entire home/apt,2,1,1,125,7,291,15,91,9,9
20949050,Bushwick,Private room,2,1,1,30,2,179,2,100,10,10
33561000,Bedford-Stuyvesant,Entire home/apt,2,1,0,74,1,2,4,90,10,9
23378076,Washington Heights,Private room,1,1,1,115,6,90,2,90,9,9
18774244,Theater District,Entire home/apt,1,1,1,399,10,89,0,,,
25928236,SoHo,Private room,1,1,1,119,1,115,37,92,10,9
15260962,SoHo,Entire home/apt,6,2,2,850,3,255,25,98,9,9
25048962,SoHo,Entire home/apt,4,1,2,650,2,174,0,,,
25192771,East Village,Private room,2,1,1,90,3,113,0,,,
26865836,Theater District,Entire home/apt,3,1,1,210,30,180,2,,,
29565064,Greenwich Village,Entire home/apt,6,2,2,600,31,285,0,,,
19019275,Upper West Side,Entire home/apt,2,1,1,90,30,52,0,,,
9269126,Hell's Kitchen,Private room,2,1,1,169,1,55,8,90,9,9
29477603,East Flatbush,Private room,2,1,1,75,1,89,0,,,
21496794,Prospect-Lefferts Gardens,Private room,2,1,1,80,1,155,19,96,10,9
29225254,Hell's Kitchen,Entire home/apt,2,1,1,257,30,122,1,100,10,10
20960223,Bedford-Stuyvesant,Private room,2,1,1,120,2,15,24,97,10,10
21460707,Lower East Side,Private room,1,1,0,120,14,365,0,,,
30036806,East Village,Entire home/apt,5,1,2,400,3,180,0,,,
64365,Crown Heights,Private room,2,1,1,60,2,272,220,95,10,10
33362979,East Flatbush,Entire home/apt,6,1,2,280,2,343,0,,,
31645263,East Village,Private room,1,1,1,55,1,0,0,,,
29219884,Bedford-Stuyvesant,Entire home/apt,12,2,4,200,2,310,14,80,9,9
4621217,Gramercy,Entire home/apt,4,1,1,140,30,267,7,94,9,9
12223159,Greenwich Village,Entire home/apt,2,1,1,210,1,18,55,98,10,9
19032449,West Village,Entire home/apt,9,4,4,650,30,266,30,90,9,9
1759462,East Village,Entire home/apt,4,1,1,179,4,21,124,97,10,10
33043946,Hell's Kitchen,Shared room,2,1,1,70,1,345,5,88,9,10
13461412,Hell's Kitchen,Entire home/apt,3,1,1,150,30,362,1,100,10,10
