Date,Software
3/22/2012,1.06
3/23/2012,1.06
3/26/2012,1.06
3/27/2012,1.06
3/28/2012,1.06
3/29/2012,1.06
3/30/2012,1.06
4/2/2012,1.06
4/3/2012,1.06
4/4/2012,1.06
4/5/2012,1.06
4/9/2012,1.06
4/10/2012,1.06
4/11/2012,1.06
4/12/2012,1.06
4/13/2012,1.06
4/16/2012,1.05
4/17/2012,1.05
4/18/2012,1.05
4/19/2012,1.05
4/20/2012,1.05
4/23/2012,1.05
4/24/2012,1.05
4/25/2012,1.04
4/26/2012,1.04
4/27/2012,1.04
4/30/2012,1.03
5/1/2012,1.03
5/2/2012,1.03
5/3/2012,1.03
5/4/2012,1.03
5/7/2012,1.04
5/8/2012,1.04
5/9/2012,1.04
5/10/2012,1.04
5/11/2012,1.03
5/14/2012,1.03
5/15/2012,1.03
5/16/2012,1.03
5/17/2012,1.03
5/18/2012,1.03
5/21/2012,1.03
5/22/2012,1.03
5/23/2012,1.03
5/24/2012,1.03
5/25/2012,1.03
5/29/2012,1.03
5/30/2012,1.03
5/31/2012,1.02
6/1/2012,1.02
6/4/2012,1.02
6/5/2012,1.02
6/6/2012,1.03
6/7/2012,1.03
6/8/2012,1.03
6/11/2012,1.03
6/12/2012,1.03
6/13/2012,1.03
6/14/2012,1.03
6/15/2012,1.03
6/18/2012,1.03
6/19/2012,1.03
6/20/2012,1.03
6/21/2012,1.03
6/22/2012,1.03
6/25/2012,1.03
6/26/2012,1.03
6/27/2012,1.03
6/28/2012,1.03
6/29/2012,1.03
7/2/2012,1.04
7/3/2012,1.04
7/5/2012,1.04
7/6/2012,1.04
7/9/2012,1.04
7/10/2012,1.04
7/11/2012,1.04
7/12/2012,1.04
7/13/2012,1.04
7/16/2012,1.04
7/17/2012,1.04
7/18/2012,1.04
7/19/2012,1.04
7/20/2012,1.04
7/23/2012,1.04
7/24/2012,1.04
7/25/2012,1.04
7/26/2012,1.04
7/27/2012,1.04
7/30/2012,1.04
7/31/2012,1.04
8/1/2012,1.04
8/2/2012,1.04
8/3/2012,1.05
8/6/2012,1.05
8/7/2012,1.04
8/8/2012,1.04
8/9/2012,1.03
8/10/2012,1.04
8/13/2012,1.04
8/14/2012,1.04
8/15/2012,1.04
8/16/2012,1.04
8/17/2012,1.04
8/20/2012,1.05
8/21/2012,1.05
8/22/2012,1.05
8/23/2012,1.05
8/24/2012,1.05
8/27/2012,1.05
8/28/2012,1.04
8/29/2012,1.04
8/30/2012,1.04
8/31/2012,1.04
9/4/2012,1.04
9/5/2012,1.04
9/6/2012,1.04
9/7/2012,1.04
9/10/2012,1.04
9/11/2012,1.04
9/12/2012,1.04
9/13/2012,1.04
9/14/2012,1.03
9/17/2012,1.04
9/18/2012,1.04
9/19/2012,1.03
9/20/2012,1.03
9/21/2012,1.03
9/24/2012,1.03
9/25/2012,1.03
9/26/2012,1.03
9/27/2012,1.03
9/28/2012,1.03
10/1/2012,1.03
10/2/2012,1.03
10/3/2012,1.03
10/4/2012,1.03
10/5/2012,1.02
10/8/2012,1.02
10/9/2012,1.03
10/10/2012,1.03
10/11/2012,1.03
10/12/2012,1.03
10/15/2012,1.03
10/16/2012,1.03
10/17/2012,1.03
10/18/2012,1.03
10/19/2012,1.03
10/22/2012,1.03
10/23/2012,1.03
10/24/2012,1.03
10/25/2012,1.03
10/26/2012,1.03
10/31/2012,1.03
11/1/2012,1.03
11/2/2012,1.03
11/5/2012,1.03
11/6/2012,1.03
11/7/2012,1.02
11/8/2012,1.02
11/9/2012,1.02
11/12/2012,1.01
11/13/2012,1.01
11/14/2012,1.01
11/15/2012,1.01
11/16/2012,1.01
11/19/2012,0.99
11/20/2012,0.99
11/21/2012,0.99
11/23/2012,0.99
11/26/2012,0.99
11/27/2012,0.99
11/28/2012,0.99
11/29/2012,0.99
11/30/2012,0.99
12/3/2012,0.98
12/4/2012,0.99
12/5/2012,0.98
12/6/2012,0.97
12/7/2012,0.97
12/10/2012,0.97
12/11/2012,0.97
12/12/2012,0.97
12/13/2012,0.97
12/14/2012,0.97
12/17/2012,0.96
12/18/2012,0.96
12/19/2012,0.96
12/20/2012,0.96
12/21/2012,0.96
12/24/2012,0.94
12/26/2012,0.95
12/27/2012,0.95
12/28/2012,0.95
12/31/2012,0.94
1/2/2013,0.95
1/3/2013,0.95
1/4/2013,0.94
1/7/2013,0.94
1/8/2013,0.94
1/9/2013,0.94
1/10/2013,0.94
1/11/2013,0.94
1/14/2013,0.94
1/15/2013,0.94
1/16/2013,0.94
1/17/2013,0.94
1/18/2013,0.94
1/22/2013,0.94
1/23/2013,0.93
1/24/2013,0.92
1/25/2013,0.92
1/28/2013,0.92
1/29/2013,0.92
1/30/2013,0.92
1/31/2013,0.92
2/1/2013,0.92
2/4/2013,0.92
2/5/2013,0.92
2/6/2013,0.92
2/7/2013,0.92
2/8/2013,0.92
2/11/2013,0.92
2/12/2013,0.92
2/13/2013,0.92
2/14/2013,0.92
2/15/2013,0.92
2/19/2013,0.92
2/20/2013,0.91
2/21/2013,0.91
2/22/2013,0.91
2/25/2013,0.91
2/26/2013,0.91
2/27/2013,0.91
2/28/2013,0.91
3/1/2013,0.91
3/4/2013,0.91
3/5/2013,0.91
3/6/2013,0.91
3/7/2013,0.91
3/8/2013,0.91
3/11/2013,0.91
3/12/2013,0.91
3/13/2013,0.91
3/14/2013,0.91
3/15/2013,0.91
3/18/2013,0.91
3/19/2013,0.91
3/20/2013,0.91
3/21/2013,0.92
3/22/2013,0.92
3/25/2013,0.92
3/26/2013,0.92
3/27/2013,0.92
3/28/2013,0.92
4/1/2013,0.92
4/2/2013,0.92
4/3/2013,0.92
4/4/2013,0.92
4/5/2013,0.92
4/8/2013,0.92
4/9/2013,0.92
4/10/2013,0.92
4/11/2013,0.92
4/12/2013,0.92
4/15/2013,0.92
4/16/2013,0.91
4/17/2013,0.91
4/18/2013,0.92
4/19/2013,0.92
4/22/2013,0.92
4/23/2013,0.92
4/24/2013,0.93
4/25/2013,0.93
4/26/2013,0.93
4/29/2013,0.95
4/30/2013,0.95
5/1/2013,0.95
5/2/2013,0.95
5/3/2013,0.95
5/6/2013,0.95
5/7/2013,0.95
5/8/2013,0.94
5/9/2013,0.94
5/10/2013,0.94
5/13/2013,0.94
5/14/2013,0.94
5/15/2013,0.94
5/16/2013,0.94
5/17/2013,0.94
5/20/2013,0.94
5/21/2013,0.94
5/22/2013,0.94
5/23/2013,0.95
5/24/2013,0.95
5/28/2013,0.95
5/29/2013,0.95
5/30/2013,0.95
5/31/2013,0.95
6/3/2013,0.95
6/4/2013,0.96
6/5/2013,0.95
6/6/2013,0.95
6/7/2013,0.96
6/10/2013,0.95
6/11/2013,0.95
6/12/2013,0.95
6/13/2013,0.94
6/14/2013,0.94
6/17/2013,0.94
6/18/2013,0.94
6/19/2013,0.93
6/20/2013,0.94
6/21/2013,0.94
6/24/2013,0.93
6/25/2013,0.93
6/26/2013,0.93
6/27/2013,0.93
6/28/2013,0.92
7/1/2013,0.92
7/2/2013,0.92
7/3/2013,0.91
7/5/2013,0.91
7/8/2013,0.91
7/9/2013,0.91
7/10/2013,0.9
7/11/2013,0.91
7/12/2013,0.91
7/15/2013,0.91
7/16/2013,0.91
7/17/2013,0.9
7/18/2013,0.9
7/19/2013,0.94
7/22/2013,0.93
7/23/2013,0.94
7/24/2013,0.93
7/25/2013,0.92
7/26/2013,0.92
7/29/2013,0.92
7/30/2013,0.92
7/31/2013,0.92
8/1/2013,0.91
8/2/2013,0.91
8/5/2013,0.91
8/6/2013,0.91
8/7/2013,0.9
8/8/2013,0.91
8/9/2013,0.9
8/12/2013,0.9
8/13/2013,0.9
8/14/2013,0.9
8/15/2013,0.9
8/16/2013,0.9
8/19/2013,0.9
8/20/2013,0.9
8/21/2013,0.9
8/22/2013,0.9
8/23/2013,0.91
8/26/2013,0.91
8/27/2013,0.92
8/28/2013,0.91
8/29/2013,0.92
8/30/2013,0.91
9/3/2013,0.91
9/4/2013,0.9
9/5/2013,0.9
9/6/2013,0.9
9/9/2013,0.9
9/10/2013,0.9
