,id,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value
24238,24943903,Theater District,Entire home/apt,4,1.0,1.0,170.0,20,0,1,80.0,10.0,10.0
24239,25232501,Long Island City,Entire home/apt,4,1.0,1.0,200.0,2,0,4,85.0,9.0,9.0
24240,25234477,Upper East Side,Entire home/apt,2,1.0,1.0,175.0,7,0,0,,,
24241,25237818,East Harlem,Private room,1,1.5,1.0,50.0,1,0,28,94.0,10.0,10.0
24242,26190559,Kew Gardens Hills,Entire home/apt,5,2.0,0.0,160.0,3,0,0,,,
24243,26217507,East Village,Private room,1,1.0,1.0,48.0,30,253,1,100.0,10.0,10.0
24244,26220115,Washington Heights,Shared room,1,1.0,1.0,42.0,1,0,0,,,
24245,26279108,Inwood,Private room,1,1.0,1.0,50.0,1,0,1,80.0,8.0,6.0
24246,25285159,Bushwick,Private room,2,1.0,1.0,50.0,2,0,5,100.0,10.0,10.0
24247,26786123,Bushwick,Private room,2,1.0,1.0,60.0,3,0,5,88.0,9.0,10.0
24248,26813610,Woodside,Private room,1,2.0,1.0,33.0,29,1,1,100.0,10.0,10.0
24249,26894016,Clinton Hill,Entire home/apt,2,1.0,1.0,125.0,5,0,3,100.0,10.0,10.0
24250,26861563,Upper West Side,Private room,3,1.0,1.0,90.0,3,0,1,60.0,10.0,8.0
24251,27023745,Bushwick,Entire home/apt,8,1.5,3.0,222.0,4,14,10,96.0,10.0,8.0
24252,25257912,Williamsburg,Entire home/apt,2,1.0,1.0,150.0,2,0,5,88.0,9.0,9.0
24253,24395331,Crown Heights,Private room,2,1.0,2.0,95.0,1,0,2,80.0,8.0,8.0
24254,24495291,Bedford-Stuyvesant,Private room,2,1.0,1.0,60.0,30,0,27,90.0,9.0,9.0
24255,24464665,Bedford-Stuyvesant,Private room,2,1.0,1.0,35.0,20,0,1,,,
24256,26004343,Harlem,Private room,2,1.0,1.0,75.0,2,0,12,95.0,10.0,10.0
24257,26038936,Upper West Side,Private room,1,1.0,2.0,90.0,3,0,8,97.0,10.0,10.0
24258,25421109,Bedford-Stuyvesant,Entire home/apt,4,1.0,1.0,120.0,3,0,2,90.0,10.0,9.0
24259,25832499,Chinatown,Private room,2,1.0,1.0,100.0,2,0,1,60.0,6.0,6.0
24260,26476238,Flushing,Private room,2,1.0,1.0,60.0,1,0,6,92.0,10.0,9.0
24261,26571135,Inwood,Private room,1,1.0,1.0,35.0,3,0,1,,,
24262,25891110,Park Slope,Entire home/apt,4,2.0,2.0,195.0,4,0,5,100.0,10.0,9.0
24263,25895230,Hell's Kitchen,Private room,2,1.0,1.0,150.0,3,0,4,100.0,9.0,10.0
24264,26892245,Bushwick,Private room,1,1.0,1.0,35.0,5,0,2,100.0,10.0,10.0
24265,27425011,Chelsea,Entire home/apt,2,1.0,0.0,220.0,14,0,0,,,
24266,28403499,Jamaica Estates,Private room,4,1.0,0.0,57.0,1,0,6,83.0,9.0,7.0
24267,28751912,Sunset Park,Private room,2,1.0,1.0,80.0,1,0,1,80.0,8.0,10.0
24268,27529888,Midtown,Entire home/apt,3,1.5,0.0,160.0,5,7,17,85.0,9.0,9.0
24269,26057084,Clinton Hill,Entire home/apt,2,1.0,1.0,150.0,3,0,5,100.0,10.0,10.0
24270,26080980,West Village,Private room,2,1.0,1.0,90.0,2,0,1,,,
24271,26074339,Bedford-Stuyvesant,Entire home/apt,2,1.0,1.0,115.0,2,6,6,100.0,10.0,10.0
24272,26096547,East Village,Entire home/apt,1,1.0,0.0,85.0,7,5,10,100.0,10.0,10.0
24273,26127726,Upper East Side,Entire home/apt,4,2.0,2.0,189.0,3,0,8,80.0,9.0,7.0
24274,26138483,Hell's Kitchen,Private room,2,1.0,1.0,70.0,2,0,2,100.0,10.0,10.0
24275,26138957,Bedford-Stuyvesant,Private room,2,1.0,1.0,60.0,4,0,0,,,
24276,26155827,Greenpoint,Private room,1,1.0,1.0,70.0,5,0,2,100.0,10.0,10.0
24277,26158157,Greenwich Village,Entire home/apt,4,1.0,2.0,289.0,3,0,6,83.0,9.0,9.0
24278,25590511,Chelsea,Entire home/apt,4,1.0,1.0,300.0,4,0,8,100.0,10.0,10.0
24279,25618970,Williamsburg,Entire home/apt,2,1.0,1.0,200.0,4,0,8,100.0,10.0,10.0
24280,25803113,Harlem,Private room,1,1.0,1.0,80.0,3,0,1,100.0,10.0,10.0
24281,25773391,Fort Greene,Private room,1,1.5,1.0,75.0,4,0,7,91.0,9.0,10.0
24282,25786994,Harlem,Entire home/apt,2,1.0,0.0,99.0,5,0,7,87.0,10.0,9.0
24283,26594199,Kips Bay,Entire home/apt,2,1.0,1.0,150.0,14,0,1,,,
24284,26679556,Morningside Heights,Entire home/apt,2,1.0,0.0,95.0,2,0,2,100.0,7.0,10.0
24285,26689797,East Harlem,Entire home/apt,4,1.0,2.0,120.0,2,1,19,98.0,10.0,10.0
24286,26683178,Boerum Hill,Entire home/apt,3,1.0,1.0,165.0,4,0,2,100.0,10.0,8.0
24287,26443376,Bushwick,Entire home/apt,4,1.0,1.0,90.0,8,2,7,97.0,10.0,10.0
24288,26750369,Prospect Heights,Private room,2,1.0,1.0,75.0,2,0,4,100.0,9.0,10.0
24289,26747129,Clinton Hill,Entire home/apt,2,1.0,1.0,80.0,14,10,2,90.0,9.0,8.0
24290,27140472,Windsor Terrace,Private room,1,1.5,1.0,65.0,2,0,0,,,
24291,27929288,Greenpoint,Private room,2,1.0,1.0,74.0,5,152,1,100.0,10.0,10.0
24292,10498577,Astoria,Private room,1,1.0,1.0,49.0,1,359,3,100.0,10.0,9.0
24293,31542949,Astoria,Private room,4,1.0,2.0,70.0,7,365,1,,,
24294,24078275,Midtown,Entire home/apt,3,1.0,0.0,200.0,3,197,42,89.0,10.0,9.0
24295,5458432,Concourse Village,Entire home/apt,2,1.0,1.0,150.0,4,334,3,100.0,10.0,10.0
24296,25311740,Ditmars Steinway,Entire home/apt,3,1.0,2.0,140.0,4,123,0,,,
24297,29533829,Greenpoint,Shared room,4,1.0,1.0,119.0,1,365,0,,,
24298,32642886,Maspeth,Private room,1,1.0,0.0,59.0,1,69,0,,,
24299,731293,Upper East Side,Entire home/apt,4,1.0,1.0,200.0,3,230,196,99.0,10.0,10.0
24300,30288240,Morrisania,Private room,2,1.0,2.0,55.0,90,272,0,,,
24301,874706,Kensington,Entire home/apt,3,1.0,1.0,95.0,3,318,146,94.0,10.0,10.0
24302,19712405,East Flatbush,Private room,2,1.5,1.0,50.0,1,32,8,83.0,9.0,9.0
24303,26874133,East Flatbush,Entire home/apt,2,1.0,1.0,78.0,4,222,12,88.0,8.0,9.0
24304,33618672,East Flatbush,Entire home/apt,4,1.0,0.0,95.0,1,298,5,100.0,10.0,10.0
24305,32695731,Midtown,Entire home/apt,4,1.0,1.0,315.0,1,3,0,,,
24306,31873616,Upper East Side,Entire home/apt,3,1.0,1.0,140.0,30,272,1,100.0,10.0,10.0
24307,32161408,Mount Hope,Entire home/apt,11,1.0,2.0,148.0,3,313,5,100.0,10.0,10.0
24308,31440464,Bushwick,Entire home/apt,4,2.0,2.0,110.0,3,111,3,67.0,7.0,7.0
24309,26897821,Upper East Side,Entire home/apt,2,1.0,1.0,125.0,3,4,7,94.0,9.0,9.0
24310,25538157,Ridgewood,Private room,1,1.0,1.0,37.0,7,349,1,100.0,10.0,10.0
24311,9012991,Bedford-Stuyvesant,Private room,2,1.0,1.0,50.0,1,363,85,78.0,8.0,8.0
24312,26693195,Bushwick,Private room,2,1.0,1.0,65.0,1,68,45,98.0,10.0,10.0
24313,21474885,Bushwick,Private room,2,1.0,1.0,75.0,1,364,0,,,
24314,42580,Clinton Hill,Private room,3,1.0,1.0,70.0,2,337,285,90.0,10.0,9.0
24315,29163083,Chelsea,Entire home/apt,5,1.0,2.0,320.0,3,118,33,95.0,9.0,10.0
24316,33065512,Williamsburg,Entire home/apt,4,1.0,2.0,101.0,9,158,0,,,
24317,29239921,Chelsea,Entire home/apt,4,1.0,1.0,250.0,1,347,0,,,
24318,19454344,Upper East Side,Entire home/apt,3,1.0,1.0,150.0,3,61,10,87.0,9.0,9.0
24319,32441769,Crown Heights,Private room,1,1.0,1.0,50.0,4,25,3,93.0,10.0,9.0
24320,12834386,Flatbush,Private room,1,1.0,1.0,73.0,1,123,43,86.0,9.0,9.0
24321,19964849,Upper East Side,Entire home/apt,4,2.0,2.0,795.0,3,260,7,100.0,10.0,10.0
24322,29653333,Concourse,Private room,4,1.0,1.0,100.0,1,177,2,100.0,8.0,6.0
24323,33713462,Flatbush,Shared room,1,1.5,1.0,27.0,1,319,4,100.0,10.0,10.0
24324,419373,Bedford-Stuyvesant,Entire home/apt,3,1.0,1.0,90.0,2,200,194,92.0,10.0,10.0
24325,26344667,Harlem,Private room,2,1.0,1.0,58.0,1,0,5,90.0,10.0,9.0
24326,26900640,Woodside,Private room,1,1.0,1.0,40.0,30,4,3,87.0,9.0,9.0
24327,26957225,Lower East Side,Entire home/apt,2,1.0,0.0,207.0,2,0,3,100.0,10.0,10.0
24328,26390150,DUMBO,Private room,2,1.0,1.0,150.0,1,0,1,100.0,10.0,10.0
24329,26392397,South Slope,Private room,2,2.0,1.0,99.0,5,0,4,100.0,10.0,9.0
24330,26416651,Bushwick,Private room,2,1.0,1.0,99.0,1,0,4,95.0,10.0,10.0
24331,27736140,Forest Hills,Entire home/apt,4,1.5,2.0,300.0,1,0,0,,,
24332,27795695,Williamsburg,Entire home/apt,5,1.0,2.0,125.0,1,0,13,95.0,10.0,10.0
24333,27825381,Williamsburg,Private room,1,1.0,1.0,90.0,2,0,2,90.0,8.0,9.0
24334,28071460,Greenpoint,Entire home/apt,2,1.0,1.0,98.0,8,0,1,,,
24335,28078505,Sheepshead Bay,Private room,2,1.0,1.0,70.0,1,0,2,100.0,10.0,10.0
24336,29630879,Long Island City,Entire home/apt,5,1.0,2.0,120.0,1,0,30,96.0,10.0,10.0
24337,29648584,Kensington,Private room,2,1.0,1.0,42.0,28,1,4,90.0,10.0,9.0
24338,28901111,Bensonhurst,Entire home/apt,1,1.0,1.0,62.0,23,0,0,,,
24339,28911697,Bushwick,Private room,2,1.0,1.0,57.0,1,0,1,100.0,10.0,10.0
24340,28733777,East Harlem,Private room,2,1.0,1.0,75.0,3,0,0,,,
24341,28843143,Washington Heights,Private room,2,1.0,1.0,60.0,2,0,16,99.0,10.0,10.0
24342,28981827,Chelsea,Entire home/apt,2,1.0,1.0,200.0,100,0,1,,,
24343,32251904,Flushing,Private room,2,1.5,1.0,65.0,1,0,2,100.0,10.0,10.0
24344,32733884,East Village,Entire home/apt,4,1.0,1.0,150.0,3,0,0,,,
24345,32788877,Astoria,Private room,2,1.0,1.0,75.0,21,18,0,,,
24346,32553994,Williamsburg,Entire home/apt,4,1.0,1.0,90.0,2,1,1,100.0,10.0,10.0
24347,32593387,East Harlem,Entire home/apt,6,1.0,2.0,250.0,1,133,6,97.0,10.0,10.0
24348,30788199,Upper East Side,Private room,1,1.0,1.0,65.0,15,0,1,,,
24349,30799727,Greenpoint,Private room,1,1.0,1.0,70.0,5,0,0,,,
24350,30882631,Bedford-Stuyvesant,Private room,2,1.0,1.0,50.0,1,0,3,100.0,10.0,10.0
24351,31100844,Sunnyside,Private room,3,1.0,1.0,49.0,1,0,1,100.0,10.0,10.0
24352,31100244,Bushwick,Entire home/apt,6,1.0,2.0,95.0,2,0,4,95.0,10.0,10.0
24353,31121555,Bedford-Stuyvesant,Private room,2,2.0,1.0,60.0,3,5,7,100.0,10.0,10.0
24354,31135051,St. Albans,Private room,1,1.0,1.0,30.0,2,0,6,83.0,9.0,10.0
24355,31127267,Kew Gardens Hills,Entire home/apt,2,1.0,0.0,45.0,2,0,4,95.0,9.0,10.0
24356,31147386,Windsor Terrace,Entire home/apt,2,1.0,0.0,52.0,30,0,1,100.0,10.0,10.0
24357,31151736,Chelsea,Entire home/apt,2,1.0,1.0,190.0,3,0,2,90.0,9.0,9.0
24358,31542692,Bedford-Stuyvesant,Entire home/apt,3,1.0,1.0,120.0,3,0,10,96.0,10.0,10.0
24359,30907262,Morningside Heights,Entire home/apt,3,1.0,1.0,80.0,14,0,0,,,
24360,30913486,Greenpoint,Private room,2,1.0,1.0,50.0,7,0,0,,,
24361,30941744,Harlem,Entire home/apt,4,1.0,0.0,85.0,4,0,0,,,
24362,31420503,West Village,Entire home/apt,2,1.0,1.0,150.0,2,0,9,91.0,10.0,10.0
24363,31411210,Crown Heights,Private room,2,1.0,1.0,45.0,5,0,0,,,
24364,31734628,Williamsburg,Private room,1,1.0,1.0,48.0,28,0,0,,,
24365,31022309,Hell's Kitchen,Private room,1,1.0,1.0,89.0,3,0,5,100.0,10.0,10.0
