Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
3/31/2019,61633,Upper West Side,NY,New York-Newark-Jersey City,New York County,New York,51,1190000,-0.002263771,-0.033384778,-0.059065391,0.007950893,0.020567465,2016-03,2016-Q1,1349300,-0.118061217,2014-07
3/31/2019,61635,Upper East Side,NY,New York-Newark-Jersey City,New York County,New York,292,1530700,0.003803528,-0.001825888,-0.070951687,0.007919768,0.010696712,2017-07,2017-Q3,1686900,-0.092595886,2014-10
3/31/2019,61636,Midtown,NY,New York-Newark-Jersey City,New York County,New York,1078,1215400,-0.000657787,-0.025184472,-0.080426723,0.021381606,0.014755155,2016-08,2016-Q3,1366800,-0.110769681,2014-08
3/31/2019,61637,Harlem,NY,New York-Newark-Jersey City,New York County,New York,2,1360100,-0.000587846,-0.009251166,-0.094112162,-0.004783175,0.018320041,2016-12,2016-Q4,1623400,-0.162190464,2013-10
3/31/2019,61643,East Harlem,NY,New York-Newark-Jersey City,New York County,New York,22,781700,0.004626655,-0.004076952,-0.010881944,0.042708166,0.0382611,2018-05,2018-Q2,796200,-0.018211505,2017-09
3/31/2019,61646,Washington Heights,NY,New York-Newark-Jersey City,New York County,New York,394,702900,0.001852908,-0.024562864,0.028383321,0.065471121,,2018-11,2018-Q4,732000,-0.039754098,2018-10
3/31/2019,61649,Theater District,NY,New York-Newark-Jersey City,New York County,New York,2180,816400,-0.000244918,-0.027168732,-0.04133396,0.057948329,0.035315505,2017-02,2017-Q1,870700,-0.062363615,2016-09
3/31/2019,61650,Hell's Kitchen,NY,New York-Newark-Jersey City,New York County,New York,680,1063300,-0.003093943,-0.010239226,-0.078276699,0.017135765,0.022630119,2017-11,2017-Q4,1208300,-0.12000331,2015-05
3/31/2019,61650,Clinton Hill,NY,New York-Newark-Jersey City,New York County,New York,680,1063300,-0.003093943,-0.010239226,-0.078276699,0.017135765,0.022630119,2017-11,2017-Q4,1208300,-0.12000331,2015-05
3/31/2019,61657,Roosevelt Island,NY,New York-Newark-Jersey City,New York County,New York,7720,958700,0.000939653,-0.004981837,-0.068228205,0.041559509,0.028462398,2017-07,2017-Q3,1077700,-0.11042034,2016-12
3/31/2019,61771,Battery Park City,NY,New York-Newark-Jersey City,New York County,New York,8054,863000,0.010775357,0.008531027,-0.029901079,0.041597589,0.027273737,2018-01,2018-Q1,919600,-0.061548499,2016-11
3/31/2019,61803,Riverdale,NY,New York-Newark-Jersey City,New York County,New York,52,671700,0.001192428,0.000297841,0.06348955,0.081541113,0.023629284,2019-01,2019-Q1,672000,-0.000446429,2019-01
3/31/2019,62005,Long Island City,NY,New York-Newark-Jersey City,New York County,New York,2099,622400,-0.000642261,-0.008759357,0.016993464,0.076013591,0.040787625,2018-11,2018-Q4,630600,-0.013003489,2018-06
3/31/2019,62008,Ditmars Steinway,NY,New York-Newark-Jersey City,New York County,New York,2866,869100,0.004391541,0.011169284,0.069661538,0.069502106,0.048603585,2019-03,2019-Q1,869100,0,2019-03
3/31/2019,61649,Inwood,NY,New York-Newark-Jersey City,New York County,New York,2180,816400,-0.000244918,-0.027168732,-0.04133396,0.057948329,0.035315505,2017-02,2017-Q1,870700,-0.062363615,2016-09
